epochs	loss_func_tr_region_0_0	loss_func_val_region_0_0	accuracy_tr_region_0_0	accuracy_val_region_0_0	loss_func_tr_region_0_1	loss_func_val_region_0_1	accuracy_tr_region_0_1	accuracy_val_region_0_1	loss_func_tr_region_0_2	loss_func_val_region_0_2	accuracy_tr_region_0_2	accuracy_val_region_0_2	loss_func_tr_region_1_0	loss_func_val_region_1_0	accuracy_tr_region_1_0	accuracy_val_region_1_0	loss_func_tr_region_1_1	loss_func_val_region_1_1	accuracy_tr_region_1_1	accuracy_val_region_1_1	loss_func_tr_region_1_2	loss_func_val_region_1_2	accuracy_tr_region_1_2	accuracy_val_region_1_2
36	5.361944453959211e-06	5.598713639408004e-06	100.0	100.0	2.1659864310228372e-05	0.004749089590978109	100.0	99.95	0.0013100351664904633	0.00010832246167335314	99.99	100.0	0.16672201854029758	0.41849357165204626	93.71	84.4	0.12252399674250565	0.2744416536978306	95.8	90.25	0.14251093223417746	0.4750802728241106	94.55	82.35
37	3.5817151773809288e-06	8.913284864739523e-06	100.0	100.0	0.00021276826984557395	5.670795920092786e-05	99.99	100.0	0.0005718376261557943	0.0001183403918862922	99.99	100.0	0.1605193899139295	0.34014823741876155	93.6	87.25	0.13261063917331326	0.3177386957573162	95.04	90.85	0.13897687186809793	0.4641254459291222	94.79	82.75
38	3.973831328746513e-06	5.1400151680809356e-06	100.0	100.0	0.00053022242623193	8.44050844421247e-05	99.97	100.0	0.0004699297127917124	9.578716086110006e-05	99.99	100.0	0.16143997437979896	0.36165762862974804	93.5	87.2	0.13348282244951765	0.282191528612743	94.92	91.15	0.14699824353662586	0.49739833851243204	94.49	80.95
39	3.0905123109992163e-06	4.146664897376695e-06	100.0	100.0	8.875074292124197e-05	0.005458481702263462	100.0	99.95	0.0002548614768741011	9.644775772223823e-05	99.99	100.0	0.15941710223351804	0.38873985667720673	93.79	85.55	0.13193129131146983	0.26318413405425234	95.04	90.25	0.14762921986652608	0.44844197013416853	94.6	79.8
40	4.8877889373883934e-06	8.566945660149372e-06	100.0	100.0	4.498131968334107e-05	0.006065266219312924	100.0	99.95	0.0020563867392457223	0.00022052651060284489	99.96	100.0	0.173821394462107	0.4933942913028423	93.14	82.65	0.12250081281282257	0.32247918829109606	95.28	88.8	0.1543512118625952	0.4996436469326727	94.26	81.55
41	3.6945670679653374e-06	3.776052427646448e-06	100.0	100.0	0.0012102655566976176	0.005130518111006097	99.97	99.95	0.0003214475483407444	8.0898558247398e-05	99.99	100.0	0.16506726983846912	0.3699269138946365	93.36	85.3	0.13165215436272354	0.27688739219650255	94.97	89.3	0.15711578107054405	0.44222371303963154	93.97	82.3
42	3.256650893456836e-06	5.88549023173357e-06	100.0	100.0	0.0006349917241929628	0.00017551963764272216	99.99	100.0	0.0010496423616218299	4.339164243835114e-05	99.96	100.0	0.15678394699587217	0.4327059172774543	93.72	85.15	0.12790809178488216	0.3296230015483688	95.11	87.8	0.15145832160677486	0.45294818092186867	94.15	83.0
43	2.6769035026568134e-06	5.5908305180452085e-06	100.0	100.0	0.0013321542609047868	0.00553929938379639	99.97	99.9	0.00014336544708599952	3.660662465582476e-05	99.99	100.0	0.16354367375709364	0.3815687228788888	93.56	86.75	0.12423320042402901	0.2642033262856188	95.21	90.95	0.14264887125210857	0.5137112630813478	94.5	81.0
44	6.487288357133636e-06	5.69285268249331e-06	100.0	100.0	0.00010955030763276774	3.030873073533513e-05	100.0	100.0	0.0006519799240226955	7.11072723614734e-05	99.99	100.0	0.16265215123198037	0.3218058216859367	93.83	87.15	0.11487910558558054	0.3868515589543863	95.34	85.2	0.14627929898383477	0.4585207961985549	94.36	81.7
45	3.125345091763876e-06	4.929739780742182e-06	100.0	100.0	7.104623480845085e-05	1.6998531687434594e-05	100.0	100.0	0.00029662339851957496	7.876172670069792e-05	100.0	100.0	0.16154360359454106	0.36907123912253964	93.78	85.95	0.136925431658634	0.2386246130083964	94.64	91.0	0.14880561647925947	0.48056438095290466	94.19	82.55
46	2.9681876214535663e-06	4.896343574941397e-06	100.0	100.0	0.00033541479093965874	2.9458249917709623e-05	99.99	100.0	4.408894646447514e-05	2.395494233689277e-05	100.0	100.0	0.16177962113587535	0.44124608147341154	93.51	85.45	0.13117525698637342	0.3128847887996117	94.89	90.45	0.15212141412104446	0.43068044754981927	94.31	83.0
47	3.453924362490923e-06	4.6305035879754545e-06	100.0	100.0	0.0012531983710058422	0.005084166247435249	99.99	99.95	0.00045524565515413505	7.419572842123756e-05	99.99	100.0	0.16407298810760637	0.4029257010123423	93.55	86.4	0.1291543266151633	0.29282597110764097	95.01	90.2	0.14313030376471148	0.43816140830012773	94.45	81.65
48	2.649347968777249e-06	5.0056394238851e-06	100.0	100.0	0.0006922106977326443	7.930698936891645e-05	99.99	100.0	0.001926377905480031	0.0001048362068012949	99.96	100.0	0.1603299984045282	0.4408460437831841	93.69	85.1	0.12041108898829941	0.3285403854368792	95.39	89.0	0.15088659992787598	0.42834280039340544	94.12	82.25
49	2.445123544882577e-06	5.551848737823662e-06	100.0	100.0	5.557457746815864e-05	3.282224570844505e-05	100.0	100.0	0.00020332918919356403	0.0001433362624853629	99.99	100.0	0.1644989576906058	0.3770755037633158	93.47	87.45	0.12220899135833628	0.25436750072646147	95.46	91.0	0.14029728484298074	0.3942373111331217	94.76	82.65
50	2.1531396298062333e-06	3.7547487896389954e-06	100.0	100.0	3.5560982432615516e-05	4.5767862031055984e-05	100.0	100.0	0.0006362791726616095	0.00023097146260866452	99.99	100.0	0.1612050791450325	0.3500660424503724	93.85	87.2	0.11947111326048705	0.321254158374682	95.69	90.0	0.1376188919258656	0.5087879117159277	94.55	82.9
